occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R002-00017,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R002,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R003-00018,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R003,Jania,urn:lsid:marinespecies.org:taxname:144012,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R003-00019,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R003,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R003-00020,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R003,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R003-00021,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R003,Cyanophyceae,urn:lsid:marinespecies.org:taxname:146542,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R004-00022,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R004,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R004-00023,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R004,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R005-00024,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R005,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R006-00025,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R006,Mytilaster solisianus,urn:lsid:marinespecies.org:taxname:506154,HumanObservation,present
BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R006-00026,BRAZIL_FERNANDODENORONHA_BOLDRO_20190222_LOWTIDE_R006,Cyanophyceae,urn:lsid:marinespecies.org:taxname:146542,HumanObservation,present
