occurrenceID,eventID,scientificName,scientificNameID,basisOfRecord,occurrenceStatus
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R010-00027,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R010,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R010-00028,BRAZIL_FERNANDODENORONHA_LEAO_20190225_LOWTIDE_R010,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R001-00029,BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R001,Gelidiella acerosa,urn:lsid:marinespecies.org:taxname:145567,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R001-00030,BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R001,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R002-00031,BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R002,Gelidiella acerosa,urn:lsid:marinespecies.org:taxname:145567,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R002-00032,BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R002,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R002-00033,BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R002,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R003-00034,BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R003,Gelidiella acerosa,urn:lsid:marinespecies.org:taxname:145567,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R003-00035,BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R003,Lithophyllum,urn:lsid:marinespecies.org:taxname:144016,HumanObservation,present
BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R003-00036,BRAZIL_FERNANDODENORONHA_LEAO_20190225_MIDTIDE_R003,Petaloconchus varians,urn:lsid:marinespecies.org:taxname:419554,HumanObservation,present
